M,holes,wall_s,tris,verts,volume,watertight,s_per_hole,flag
3,9,0.0732,2928,1448,78228.5,1,0.008133,
4,16,0.1708,5196,2568,76850.6,1,0.010677,
5,25,0.3385,8112,4008,75079,1,0.013541,
6,36,0.5599,11676,5768,72913.8,1,0.015553,
7,49,0.7951,15888,7848,70354.9,1,0.016227,
8,64,1.1940,20748,10248,67402.4,1,0.018656,
9,81,1.6243,26260,12970,64056.1,1,0.020053,
10,100,2.2895,32412,16008,61325.4,1,0.022895,
11,121,3.0436,39216,19368,61012.9,1,0.025154,
12,144,3.8723,46668,23048,60746.4,1,0.026891,
13,169,5.1532,54768,27048,60516.5,1,0.030492,
14,196,6.5511,63516,31368,60316.2,1,0.033424,
15,225,8.3289,72912,36008,60140,1,0.037017,
16,256,10.3289,82956,40968,59984,1,0.040347,
17,289,12.8598,93648,46248,59844.7,1,0.044497,
18,324,15.5723,104988,51848,59719.7,1,0.048063,
19,361,18.0427,116976,57768,59606.9,1,0.049980,
20,400,22.2006,129612,64008,59504.6,1,0.055502,
21,441,25.5985,142896,70568,59411.3,1,0.058046,
22,484,30.1808,156828,77448,59326,1,0.062357,
23,529,35.7976,171408,84648,59247.6,1,0.067670,
24,576,41.7215,186636,92168,59175.3,1,0.072433,
